,1.18_filename,BTW_filename,1.18_filepath,BTW_filepath,delete
25,slime,slime,1.18/assets/minecraft/textures/entity/slime/slime.png,BTW/mob/slime.png,
26,magmacube,lava,1.18/assets/minecraft/textures/entity/slime/magmacube.png,BTW/mob/lava.png,
27,zombie,zombie,1.18/assets/minecraft/textures/entity/zombie/zombie.png,BTW/mob/zombie.png,
28,sheep_fur,sheep_fur,1.18/assets/minecraft/textures/entity/sheep/sheep_fur.png,BTW/mob/sheep_fur.png,
29,sheep,sheep,1.18/assets/minecraft/textures/entity/sheep/sheep.png,BTW/mob/sheep.png,
30,spruce,signSpruce,1.18/assets/minecraft/textures/entity/signs/spruce.png,BTW/deco/signSpruce.png,
31,birch,signBirch,1.18/assets/minecraft/textures/entity/signs/birch.png,BTW/deco/signBirch.png,
32,dark_oak,signCherry,1.18/assets/minecraft/textures/entity/signs/dark_oak.png,BTW/deco/signCherry.png,
33,jungle,signJungle,1.18/assets/minecraft/textures/entity/signs/jungle.png,BTW/deco/signJungle.png,
34,oak,sign,1.18/assets/minecraft/textures/entity/signs/oak.png,BTW/item/sign.png,
35,acacia,signAcacia,1.18/assets/minecraft/textures/entity/signs/acacia.png,BTW/deco/signAcacia.png,
36,dragon_eyes,ender_eyes,1.18/assets/minecraft/textures/entity/enderdragon/dragon_eyes.png,BTW/mob/enderdragon/ender_eyes.png,
37,wither_armor,witherarmor,1.18/assets/minecraft/textures/entity/wither/wither_armor.png,BTW/armor/witherarmor.png,
38,wither_invulnerable,wither_invul,1.18/assets/minecraft/textures/entity/wither/wither_invulnerable.png,BTW/mob/wither_invul.png,
39,wolf_tame,wolf_tame,1.18/assets/minecraft/textures/entity/wolf/wolf_tame.png,BTW/mob/wolf_tame.png,
40,wolf_angry,wolf_angry,1.18/assets/minecraft/textures/entity/wolf/wolf_angry.png,BTW/mob/wolf_angry.png,
41,wolf,wolf,1.18/assets/minecraft/textures/entity/wolf/wolf.png,BTW/mob/wolf.png,
42,wolf_collar,wolf_collar,1.18/assets/minecraft/textures/entity/wolf/wolf_collar.png,BTW/mob/wolf_collar.png,
43,ghast,ghast,1.18/assets/minecraft/textures/entity/ghast/ghast.png,BTW/mob/ghast.png,
44,ghast_shooting,ghast_fire,1.18/assets/minecraft/textures/entity/ghast/ghast_shooting.png,BTW/mob/ghast_fire.png,
45,end_crystal_beam,beam,1.18/assets/minecraft/textures/entity/end_crystal/end_crystal_beam.png,BTW/mob/enderdragon/beam.png,
46,spider,spider,1.18/assets/minecraft/textures/entity/spider/spider.png,BTW/mob/spider.png,
47,cave_spider,cavespider,1.18/assets/minecraft/textures/entity/spider/cave_spider.png,BTW/mob/cavespider.png,
48,butcher,butcher,1.18/assets/minecraft/textures/entity/villager/butcher.png,BTW/mob/villager/butcher.png,
49,smith,smith,1.18/assets/minecraft/textures/entity/villager/smith.png,BTW/mob/villager/smith.png,
50,librarian,librarian,1.18/assets/minecraft/textures/entity/villager/librarian.png,BTW/mob/villager/librarian.png,
51,priest,priest,1.18/assets/minecraft/textures/entity/villager/priest.png,BTW/mob/villager/priest.png,
52,farmer,farmer,1.18/assets/minecraft/textures/entity/villager/farmer.png,BTW/mob/villager/farmer.png,
53,villager,trading,1.18/assets/minecraft/textures/gui/container/villager.png,BTW/gui/trading.png,
54,leather_layer_1,cloth_1,1.18/assets/minecraft/textures/models/armor/leather_layer_1.png,BTW/armor/cloth_1.png,
55,leather_layer_2,cloth_2,1.18/assets/minecraft/textures/models/armor/leather_layer_2.png,BTW/armor/cloth_2.png,
56,chainmail_layer_2,chain_2,1.18/assets/minecraft/textures/models/armor/chainmail_layer_2.png,BTW/armor/chain_2.png,
57,chainmail_layer_1,chain_1,1.18/assets/minecraft/textures/models/armor/chainmail_layer_1.png,BTW/armor/chain_1.png,
58,gold_layer_1,gold_1,1.18/assets/minecraft/textures/models/armor/gold_layer_1.png,BTW/armor/gold_1.png,
59,diamond_layer_1,diamond_1,1.18/assets/minecraft/textures/models/armor/diamond_layer_1.png,BTW/armor/diamond_1.png,
60,gold_layer_2,gold_2,1.18/assets/minecraft/textures/models/armor/gold_layer_2.png,BTW/armor/gold_2.png,
61,diamond_layer_2,diamond_2,1.18/assets/minecraft/textures/models/armor/diamond_layer_2.png,BTW/armor/diamond_2.png,
62,iron_layer_2,iron_2,1.18/assets/minecraft/textures/models/armor/iron_layer_2.png,BTW/armor/iron_2.png,
63,leather_layer_1_overlay,cloth_1_b,1.18/assets/minecraft/textures/models/armor/leather_layer_1_overlay.png,BTW/armor/cloth_1_b.png,
64,iron_layer_1,iron_1,1.18/assets/minecraft/textures/models/armor/iron_layer_1.png,BTW/armor/iron_1.png,
65,leather_layer_2_overlay,cloth_2_b,1.18/assets/minecraft/textures/models/armor/leather_layer_2_overlay.png,BTW/armor/cloth_2_b.png,
66,map_background,mapbg,1.18/assets/minecraft/textures/map/map_background.png,BTW/misc/mapbg.png,
67,emerald,emerald,1.18/assets/minecraft/textures/item/emerald.png,BTW/textures/items/emerald.png,
68,chainmail_chestplate,chestplateChain,1.18/assets/minecraft/textures/item/chainmail_chestplate.png,BTW/textures/items/chestplateChain.png,
69,iron_boots,bootsIron,1.18/assets/minecraft/textures/item/iron_boots.png,BTW/textures/items/bootsIron.png,
70,bow,bow,1.18/assets/minecraft/textures/item/bow.png,BTW/textures/items/bow.png,
71,golden_shovel,shovelGold,1.18/assets/minecraft/textures/item/golden_shovel.png,BTW/textures/items/shovelGold.png,
72,tnt_minecart,minecartTnt,1.18/assets/minecraft/textures/item/tnt_minecart.png,BTW/textures/items/minecartTnt.png,
73,dark_oak_sign,decoItemSignCherry,1.18/assets/minecraft/textures/item/dark_oak_sign.png,BTW/textures/items/decoItemSignCherry.png,
74,diamond_hoe,hoeDiamond,1.18/assets/minecraft/textures/item/diamond_hoe.png,BTW/textures/items/hoeDiamond.png,
75,paper,paper,1.18/assets/minecraft/textures/item/paper.png,BTW/textures/items/paper.png,
76,cauldron,cauldron,1.18/assets/minecraft/textures/item/cauldron.png,BTW/textures/items/cauldron.png,
77,golden_hoe,hoeGold,1.18/assets/minecraft/textures/item/golden_hoe.png,BTW/textures/items/hoeGold.png,
78,bowl,bowl,1.18/assets/minecraft/textures/item/bowl.png,BTW/textures/items/bowl.png,
79,cake,cake,1.18/assets/minecraft/textures/item/cake.png,BTW/textures/items/cake.png,
80,cyan_dye,dyePowder_cyan,1.18/assets/minecraft/textures/item/cyan_dye.png,BTW/textures/items/dyePowder_cyan.png,
81,mushroom_stew,mushroomStew,1.18/assets/minecraft/textures/item/mushroom_stew.png,BTW/textures/items/mushroomStew.png,
82,splash_potion,potion_splash,1.18/assets/minecraft/textures/item/splash_potion.png,BTW/textures/items/potion_splash.png,
83,leather_chestplate,chestplateCloth,1.18/assets/minecraft/textures/item/leather_chestplate.png,BTW/textures/items/chestplateCloth.png,
84,ender_pearl,enderPearl,1.18/assets/minecraft/textures/item/ender_pearl.png,BTW/textures/items/enderPearl.png,
85,ink_sac,dyePowder_black,1.18/assets/minecraft/textures/item/ink_sac.png,BTW/textures/items/dyePowder_black.png,
86,book,book,1.18/assets/minecraft/textures/gui/book.png,BTW/gui/book.png,
87,empty_armor_slot_chestplate,slot_empty_chestplate,1.18/assets/minecraft/textures/item/empty_armor_slot_chestplate.png,BTW/textures/items/slot_empty_chestplate.png,
88,nether_star,netherStar,1.18/assets/minecraft/textures/item/nether_star.png,BTW/textures/items/netherStar.png,
89,carrot_on_a_stick,carrotOnAStick,1.18/assets/minecraft/textures/item/carrot_on_a_stick.png,BTW/textures/items/carrotOnAStick.png,
90,diamond_boots,bootsDiamond,1.18/assets/minecraft/textures/item/diamond_boots.png,BTW/textures/items/bootsDiamond.png,
91,green_dye,dyePowder_green,1.18/assets/minecraft/textures/item/green_dye.png,BTW/textures/items/dyePowder_green.png,
92,black_dye,decoItemDye_black,1.18/assets/minecraft/textures/item/black_dye.png,BTW/textures/items/decoItemDye_black.png,
93,wooden_axe,hatchetWood,1.18/assets/minecraft/textures/item/wooden_axe.png,BTW/textures/items/hatchetWood.png,
94,music_disc_far,record_far,1.18/assets/minecraft/textures/item/music_disc_far.png,BTW/textures/items/record_far.png,
95,music_disc_wait,record_wait,1.18/assets/minecraft/textures/item/music_disc_wait.png,BTW/textures/items/record_wait.png,
96,item_frame,itemframe_back,1.18/assets/minecraft/textures/block/item_frame.png,BTW/textures/blocks/itemframe_back.png,
97,spider_eye,spiderEye,1.18/assets/minecraft/textures/item/spider_eye.png,BTW/textures/items/spiderEye.png,
98,bread,bread,1.18/assets/minecraft/textures/item/bread.png,BTW/textures/items/bread.png,
99,potion,potion,1.18/assets/minecraft/textures/item/potion.png,BTW/textures/items/potion.png,
100,white_dye,decoItemDye_white,1.18/assets/minecraft/textures/item/white_dye.png,BTW/textures/items/decoItemDye_white.png,
101,purple_dye,decoItemDye_purple,1.18/assets/minecraft/textures/item/purple_dye.png,BTW/textures/items/decoItemDye_purple.png,
102,purple_dye,dyePowder_purple,1.18/assets/minecraft/textures/item/purple_dye.png,BTW/textures/items/dyePowder_purple.png,
103,iron_chestplate,chestplateIron,1.18/assets/minecraft/textures/item/iron_chestplate.png,BTW/textures/items/chestplateIron.png,
104,birch_door,decoItemDoorBirch,1.18/assets/minecraft/textures/item/birch_door.png,BTW/textures/items/decoItemDoorBirch.png,
105,ruby,ruby,1.18/assets/minecraft/textures/item/ruby.png,BTW/textures/items/ruby.png,
106,sugar,sugar,1.18/assets/minecraft/textures/item/sugar.png,BTW/textures/items/sugar.png,
107,firework_star_overlay,fireworksCharge_overlay,1.18/assets/minecraft/textures/item/firework_star_overlay.png,BTW/textures/items/fireworksCharge_overlay.png,
108,potato,potato,1.18/assets/minecraft/textures/item/potato.png,BTW/textures/items/potato.png,
109,cooked_chicken,chickenCooked,1.18/assets/minecraft/textures/item/cooked_chicken.png,BTW/textures/items/chickenCooked.png,
110,wooden_sword,swordWood,1.18/assets/minecraft/textures/item/wooden_sword.png,BTW/textures/items/swordWood.png,
111,stone_hoe,hoeStone,1.18/assets/minecraft/textures/item/stone_hoe.png,BTW/textures/items/hoeStone.png,
112,gold_ingot,ingotGold,1.18/assets/minecraft/textures/item/gold_ingot.png,BTW/textures/items/ingotGold.png,
113,music_disc_strad,record_strad,1.18/assets/minecraft/textures/item/music_disc_strad.png,BTW/textures/items/record_strad.png,
114,magma_cream,magmaCream,1.18/assets/minecraft/textures/item/magma_cream.png,BTW/textures/items/magmaCream.png,
115,wheat,wheat,1.18/assets/minecraft/textures/item/wheat.png,BTW/textures/items/wheat.png,
116,iron_shovel,shovelIron,1.18/assets/minecraft/textures/item/iron_shovel.png,BTW/textures/items/shovelIron.png,
117,golden_pickaxe,pickaxeGold,1.18/assets/minecraft/textures/item/golden_pickaxe.png,BTW/textures/items/pickaxeGold.png,
118,golden_axe,hatchetGold,1.18/assets/minecraft/textures/item/golden_axe.png,BTW/textures/items/hatchetGold.png,
119,chainmail_leggings,leggingsChain,1.18/assets/minecraft/textures/item/chainmail_leggings.png,BTW/textures/items/leggingsChain.png,
120,spruce_sign,decoItemSignSpruce,1.18/assets/minecraft/textures/item/spruce_sign.png,BTW/textures/items/decoItemSignSpruce.png,
121,iron_helmet,helmetIron,1.18/assets/minecraft/textures/item/iron_helmet.png,BTW/textures/items/helmetIron.png,
122,experience_bottle,expBottle,1.18/assets/minecraft/textures/item/experience_bottle.png,BTW/textures/items/expBottle.png,
123,prismarine_shard,decoItemPrismarineShard,1.18/assets/minecraft/textures/item/prismarine_shard.png,BTW/textures/items/decoItemPrismarineShard.png,
124,golden_apple,appleGold,1.18/assets/minecraft/textures/item/golden_apple.png,BTW/textures/items/appleGold.png,
125,jungle_sign,decoItemSignJungle,1.18/assets/minecraft/textures/item/jungle_sign.png,BTW/textures/items/decoItemSignJungle.png,
126,diamond_pickaxe,pickaxeDiamond,1.18/assets/minecraft/textures/item/diamond_pickaxe.png,BTW/textures/items/pickaxeDiamond.png,
127,wheat_seeds,seeds,1.18/assets/minecraft/textures/item/wheat_seeds.png,BTW/textures/items/seeds.png,
128,yellow_dye,dyePowder_yellow,1.18/assets/minecraft/textures/item/yellow_dye.png,BTW/textures/items/dyePowder_yellow.png,
129,light_gray_dye,dyePowder_silver,1.18/assets/minecraft/textures/item/light_gray_dye.png,BTW/textures/items/dyePowder_silver.png,
130,carrot,carrots,1.18/assets/minecraft/textures/item/carrot.png,BTW/textures/items/carrots.png,
131,wooden_pickaxe,pickaxeWood,1.18/assets/minecraft/textures/item/wooden_pickaxe.png,BTW/textures/items/pickaxeWood.png,
132,cookie,cookie,1.18/assets/minecraft/textures/item/cookie.png,BTW/textures/items/cookie.png,
133,gold_nugget,goldNugget,1.18/assets/minecraft/textures/item/gold_nugget.png,BTW/textures/items/goldNugget.png,
134,empty_armor_slot_leggings,slot_empty_leggings,1.18/assets/minecraft/textures/item/empty_armor_slot_leggings.png,BTW/textures/items/slot_empty_leggings.png,
135,firework_rocket,fireworks,1.18/assets/minecraft/textures/item/firework_rocket.png,BTW/textures/items/fireworks.png,
136,fishing_rod,fishingRod,1.18/assets/minecraft/textures/item/fishing_rod.png,BTW/textures/items/fishingRod.png,
137,chainmail_helmet,helmetChain,1.18/assets/minecraft/textures/item/chainmail_helmet.png,BTW/textures/items/helmetChain.png,
138,music_disc_mall,record_mall,1.18/assets/minecraft/textures/item/music_disc_mall.png,BTW/textures/items/record_mall.png,
139,chest_minecart,minecartChest,1.18/assets/minecraft/textures/item/chest_minecart.png,BTW/textures/items/minecartChest.png,
140,golden_sword,swordGold,1.18/assets/minecraft/textures/item/golden_sword.png,BTW/textures/items/swordGold.png,
141,acacia_door,decoItemDoorAcacia,1.18/assets/minecraft/textures/item/acacia_door.png,BTW/textures/items/decoItemDoorAcacia.png,
142,diamond_axe,hatchetDiamond,1.18/assets/minecraft/textures/item/diamond_axe.png,BTW/textures/items/hatchetDiamond.png,
143,water_bucket,bucketWater,1.18/assets/minecraft/textures/item/water_bucket.png,BTW/textures/items/bucketWater.png,
144,music_disc_cat,record_cat,1.18/assets/minecraft/textures/item/music_disc_cat.png,BTW/textures/items/record_cat.png,
145,rotten_flesh,rottenFlesh,1.18/assets/minecraft/textures/item/rotten_flesh.png,BTW/textures/items/rottenFlesh.png,
146,bone_meal,dyePowder_white,1.18/assets/minecraft/textures/item/bone_meal.png,BTW/textures/items/dyePowder_white.png,
147,repeater,repeater,1.18/assets/minecraft/textures/block/repeater.png,BTW/textures/blocks/repeater.png,
148,stick,stick,1.18/assets/minecraft/textures/item/stick.png,BTW/textures/items/stick.png,
149,snowball,snowball,1.18/assets/minecraft/textures/item/snowball.png,BTW/textures/items/snowball.png,
150,shears,shears,1.18/assets/minecraft/textures/item/shears.png,BTW/textures/items/shears.png,
151,blaze_powder,blazePowder,1.18/assets/minecraft/textures/item/blaze_powder.png,BTW/textures/items/blazePowder.png,
152,stone_axe,hatchetStone,1.18/assets/minecraft/textures/item/stone_axe.png,BTW/textures/items/hatchetStone.png,
153,diamond_chestplate,chestplateDiamond,1.18/assets/minecraft/textures/item/diamond_chestplate.png,BTW/textures/items/chestplateDiamond.png,
154,light_blue_dye,dyePowder_lightBlue,1.18/assets/minecraft/textures/item/light_blue_dye.png,BTW/textures/items/dyePowder_lightBlue.png,
155,ghast_tear,ghastTear,1.18/assets/minecraft/textures/item/ghast_tear.png,BTW/textures/items/ghastTear.png,
156,golden_helmet,helmetGold,1.18/assets/minecraft/textures/item/golden_helmet.png,BTW/textures/items/helmetGold.png,
157,wooden_hoe,hoeWood,1.18/assets/minecraft/textures/item/wooden_hoe.png,BTW/textures/items/hoeWood.png,
158,stone_sword,swordStone,1.18/assets/minecraft/textures/item/stone_sword.png,BTW/textures/items/swordStone.png,
159,coal,coal,1.18/assets/minecraft/textures/item/coal.png,BTW/textures/items/coal.png,
160,iron_pickaxe,pickaxeIron,1.18/assets/minecraft/textures/item/iron_pickaxe.png,BTW/textures/items/pickaxeIron.png,
161,writable_book,writingBook,1.18/assets/minecraft/textures/item/writable_book.png,BTW/textures/items/writingBook.png,
162,beef,beefRaw,1.18/assets/minecraft/textures/item/beef.png,BTW/textures/items/beefRaw.png,
163,painting,painting,1.18/assets/minecraft/textures/item/painting.png,BTW/textures/items/painting.png,
164,prismarine_crystals,decoItemPrismarineCrystal,1.18/assets/minecraft/textures/item/prismarine_crystals.png,BTW/textures/items/decoItemPrismarineCrystal.png,
165,porkchop,porkchopRaw,1.18/assets/minecraft/textures/item/porkchop.png,BTW/textures/items/porkchopRaw.png,
166,baked_potato,potatoBaked,1.18/assets/minecraft/textures/item/baked_potato.png,BTW/textures/items/potatoBaked.png,
167,leather_chestplate_overlay,chestplateCloth_overlay,1.18/assets/minecraft/textures/item/leather_chestplate_overlay.png,BTW/textures/items/chestplateCloth_overlay.png,
168,pumpkin_pie,pumpkinPie,1.18/assets/minecraft/textures/item/pumpkin_pie.png,BTW/textures/items/pumpkinPie.png,
169,flint,flint,1.18/assets/minecraft/textures/item/flint.png,BTW/textures/items/flint.png,
170,fire_charge,fireball,1.18/assets/minecraft/textures/item/fire_charge.png,BTW/textures/items/fireball.png,
171,golden_carrot,carrotGolden,1.18/assets/minecraft/textures/item/golden_carrot.png,BTW/textures/items/carrotGolden.png,
172,diamond_shovel,shovelDiamond,1.18/assets/minecraft/textures/item/diamond_shovel.png,BTW/textures/items/shovelDiamond.png,
173,iron_hoe,hoeIron,1.18/assets/minecraft/textures/item/iron_hoe.png,BTW/textures/items/hoeIron.png,
174,pumpkin_seeds,seeds_pumpkin,1.18/assets/minecraft/textures/item/pumpkin_seeds.png,BTW/textures/items/seeds_pumpkin.png,
175,leather_helmet_overlay,helmetCloth_overlay,1.18/assets/minecraft/textures/item/leather_helmet_overlay.png,BTW/textures/items/helmetCloth_overlay.png,
176,apple,apple,1.18/assets/minecraft/textures/item/apple.png,BTW/textures/items/apple.png,
177,acacia_sign,decoItemSignAcacia,1.18/assets/minecraft/textures/item/acacia_sign.png,BTW/textures/items/decoItemSignAcacia.png,
178,iron_sword,swordIron,1.18/assets/minecraft/textures/item/iron_sword.png,BTW/textures/items/swordIron.png,
179,music_disc_mellohi,record_mellohi,1.18/assets/minecraft/textures/item/music_disc_mellohi.png,BTW/textures/items/record_mellohi.png,
180,flint_and_steel,flintAndSteel,1.18/assets/minecraft/textures/item/flint_and_steel.png,BTW/textures/items/flintAndSteel.png,
181,spruce_door,decoItemDoorSpruce,1.18/assets/minecraft/textures/item/spruce_door.png,BTW/textures/items/decoItemDoorSpruce.png,
182,jungle_door,decoItemDoorJungle,1.18/assets/minecraft/textures/item/jungle_door.png,BTW/textures/items/decoItemDoorJungle.png,
183,red_dye,dyePowder_red,1.18/assets/minecraft/textures/item/red_dye.png,BTW/textures/items/dyePowder_red.png,
184,diamond_leggings,leggingsDiamond,1.18/assets/minecraft/textures/item/diamond_leggings.png,BTW/textures/items/leggingsDiamond.png,
185,hopper,hopper,1.18/assets/minecraft/textures/gui/container/hopper.png,BTW/gui/hopper.png,
186,glistering_melon_slice,speckledMelon,1.18/assets/minecraft/textures/item/glistering_melon_slice.png,BTW/textures/items/speckledMelon.png,
187,lava_bucket,bucketLava,1.18/assets/minecraft/textures/item/lava_bucket.png,BTW/textures/items/bucketLava.png,
188,clay_ball,clay,1.18/assets/minecraft/textures/item/clay_ball.png,BTW/textures/items/clay.png,
189,poisonous_potato,potatoPoisonous,1.18/assets/minecraft/textures/item/poisonous_potato.png,BTW/textures/items/potatoPoisonous.png,
190,lime_dye,decoItemDye_lime,1.18/assets/minecraft/textures/item/lime_dye.png,BTW/textures/items/decoItemDye_lime.png,
191,lime_dye,dyePowder_lime,1.18/assets/minecraft/textures/item/lime_dye.png,BTW/textures/items/dyePowder_lime.png,
192,chainmail_boots,bootsChain,1.18/assets/minecraft/textures/item/chainmail_boots.png,BTW/textures/items/bootsChain.png,
193,melon_slice,melon,1.18/assets/minecraft/textures/item/melon_slice.png,BTW/textures/items/melon.png,
194,ender_eye,eyeOfEnder,1.18/assets/minecraft/textures/item/ender_eye.png,BTW/textures/items/eyeOfEnder.png,
195,leather,leather,1.18/assets/minecraft/textures/item/leather.png,BTW/textures/items/leather.png,
196,lapis_lazuli,dyePowder_blue,1.18/assets/minecraft/textures/item/lapis_lazuli.png,BTW/textures/items/dyePowder_blue.png,
197,name_tag,fcItemNameTag,1.18/assets/minecraft/textures/item/name_tag.png,BTW/textures/items/fcItemNameTag.png,
198,name_tag,decoItemNameTag,1.18/assets/minecraft/textures/item/name_tag.png,BTW/textures/items/decoItemNameTag.png,
199,hopper_minecart,minecartHopper,1.18/assets/minecraft/textures/item/hopper_minecart.png,BTW/textures/items/minecartHopper.png,
200,music_disc_13,record_13,1.18/assets/minecraft/textures/item/music_disc_13.png,BTW/textures/items/record_13.png,
201,blaze_rod,blazeRod,1.18/assets/minecraft/textures/item/blaze_rod.png,BTW/textures/items/blazeRod.png,
202,fermented_spider_eye,fermentedSpiderEye,1.18/assets/minecraft/textures/item/fermented_spider_eye.png,BTW/textures/items/fermentedSpiderEye.png,
203,music_disc_11,record_11,1.18/assets/minecraft/textures/item/music_disc_11.png,BTW/textures/items/record_11.png,
204,cocoa_beans,dyePowder_brown,1.18/assets/minecraft/textures/item/cocoa_beans.png,BTW/textures/items/dyePowder_brown.png,
205,diamond_sword,swordDiamond,1.18/assets/minecraft/textures/item/diamond_sword.png,BTW/textures/items/swordDiamond.png,
206,string,string,1.18/assets/minecraft/textures/item/string.png,BTW/textures/items/string.png,
207,golden_leggings,leggingsGold,1.18/assets/minecraft/textures/item/golden_leggings.png,BTW/textures/items/leggingsGold.png,
208,milk_bucket,milk,1.18/assets/minecraft/textures/item/milk_bucket.png,BTW/textures/items/milk.png,
209,slime_ball,slimeball,1.18/assets/minecraft/textures/item/slime_ball.png,BTW/textures/items/slimeball.png,
210,empty_armor_slot_helmet,slot_empty_helmet,1.18/assets/minecraft/textures/item/empty_armor_slot_helmet.png,BTW/textures/items/slot_empty_helmet.png,
211,diamond,diamond,1.18/assets/minecraft/textures/item/diamond.png,BTW/textures/items/diamond.png,
212,stone_shovel,shovelStone,1.18/assets/minecraft/textures/item/stone_shovel.png,BTW/textures/items/shovelStone.png,
213,stone_pickaxe,pickaxeStone,1.18/assets/minecraft/textures/item/stone_pickaxe.png,BTW/textures/items/pickaxeStone.png,
214,quartz,netherquartz,1.18/assets/minecraft/textures/item/quartz.png,BTW/textures/items/netherquartz.png,
215,wooden_shovel,shovelWood,1.18/assets/minecraft/textures/item/wooden_shovel.png,BTW/textures/items/shovelWood.png,
216,written_book,writtenBook,1.18/assets/minecraft/textures/item/written_book.png,BTW/textures/items/writtenBook.png,
217,bow_pulling_2,bow_pull_2,1.18/assets/minecraft/textures/item/bow_pulling_2.png,BTW/textures/items/bow_pull_2.png,
218,golden_chestplate,chestplateGold,1.18/assets/minecraft/textures/item/golden_chestplate.png,BTW/textures/items/chestplateGold.png,
219,golden_boots,bootsGold,1.18/assets/minecraft/textures/item/golden_boots.png,BTW/textures/items/bootsGold.png,
220,music_disc_blocks,record_blocks,1.18/assets/minecraft/textures/item/music_disc_blocks.png,BTW/textures/items/record_blocks.png,
221,spawn_egg_overlay,monsterPlacer_overlay,1.18/assets/minecraft/textures/item/spawn_egg_overlay.png,BTW/textures/items/monsterPlacer_overlay.png,
222,glowstone_dust,yellowDust,1.18/assets/minecraft/textures/item/glowstone_dust.png,BTW/textures/items/yellowDust.png,
223,music_disc_stal,record_stal,1.18/assets/minecraft/textures/item/music_disc_stal.png,BTW/textures/items/record_stal.png,
224,melon_seeds,seeds_melon,1.18/assets/minecraft/textures/item/melon_seeds.png,BTW/textures/items/seeds_melon.png,
225,bone,bone,1.18/assets/minecraft/textures/item/bone.png,BTW/textures/items/bone.png,
226,nether_wart,netherStalkSeeds,1.18/assets/minecraft/textures/item/nether_wart.png,BTW/textures/items/netherStalkSeeds.png,
227,iron_axe,hatchetIron,1.18/assets/minecraft/textures/item/iron_axe.png,BTW/textures/items/hatchetIron.png,
228,music_disc_ward,record_ward,1.18/assets/minecraft/textures/item/music_disc_ward.png,BTW/textures/items/record_ward.png,
229,leather_boots_overlay,bootsCloth_overlay,1.18/assets/minecraft/textures/item/leather_boots_overlay.png,BTW/textures/items/bootsCloth_overlay.png,
230,iron_ingot,ingotIron,1.18/assets/minecraft/textures/item/iron_ingot.png,BTW/textures/items/ingotIron.png,
231,gunpowder,sulphur,1.18/assets/minecraft/textures/item/gunpowder.png,BTW/textures/items/sulphur.png,
232,feather,feather,1.18/assets/minecraft/textures/item/feather.png,BTW/textures/items/feather.png,
233,bow_pulling_0,bow_pull_0,1.18/assets/minecraft/textures/item/bow_pulling_0.png,BTW/textures/items/bow_pull_0.png,
234,bow_pulling_1,bow_pull_1,1.18/assets/minecraft/textures/item/bow_pulling_1.png,BTW/textures/items/bow_pull_1.png,
235,leather_leggings_overlay,leggingsCloth_overlay,1.18/assets/minecraft/textures/item/leather_leggings_overlay.png,BTW/textures/items/leggingsCloth_overlay.png,
